wkt_geom,latitude,longitude,NOMGEO,NOM_ENT,acq_date_mex,SATELITE
POINT (-105.35928 23.77461),23.77461,-105.35928,Pueblo Nuevo,Durango,2025-10-03 10:24:00,Sin Info
POINT (-105.36572 23.77894),23.77894,-105.36572,Pueblo Nuevo,Durango,2025-10-08 10:24:00,Sin Info
POINT (-105.35614 23.7776),23.7776,-105.35614,Pueblo Nuevo,Durango,2025-10-08 10:24:00,Sin Info
POINT (-103.39576 25.49014),25.49014,-103.39576,Torreón,Coahuila de Zaragoza,2025-10-03 03:07:00,Sin Info
POINT (-103.39922 25.48646),25.48646,-103.39922,Torreón,Coahuila de Zaragoza,2025-10-04 02:45:00,Sin Info
POINT (-105.20139 23.8616),23.8616,-105.20139,Durango,Durango,2025-10-04 02:48:00,Sin Info
POINT (-104.06894 26.5143),26.5143,-104.06894,Mapimí,Durango,2025-10-04 14:02:00,Sin Info
POINT (-104.06241 26.52226),26.52226,-104.06241,Mapimí,Durango,2025-10-04 14:02:00,Sin Info
POINT (-104.05981 26.52958),26.52958,-104.05981,Mapimí,Durango,2025-10-04 14:02:00,Sin Info
POINT (-104.07162 26.52765),26.52765,-104.07162,Mapimí,Durango,2025-10-04 14:02:00,Sin Info
POINT (-104.07229 26.53099),26.53099,-104.07229,Mapimí,Durango,2025-10-04 14:02:00,Sin Info
POINT (-104.17767 26.52761),26.52761,-104.17767,Mapimí,Durango,2025-10-04 14:02:00,Sin Info
POINT (-103.39737 25.48598),25.48598,-103.39737,Torreón,Coahuila de Zaragoza,2025-10-05 02:28:00,Sin Info
POINT (-105.34541 23.7965),23.7965,-105.34541,Pueblo Nuevo,Durango,2025-10-05 02:28:00,Sin Info
POINT (-103.39865 25.48679),25.48679,-103.39865,Torreón,Coahuila de Zaragoza,2025-10-06 02:09:00,Sin Info
POINT (-103.70567 24.93166),24.93166,-103.70567,Cuencamé,Durango,2025-10-08 14:25:00,Sin Info
POINT (-103.39938 25.48809),25.48809,-103.39938,Torreón,Coahuila de Zaragoza,2025-10-04 03:07:00,Sin Info
POINT (-105.20178 23.86211),23.86211,-105.20178,Durango,Durango,2025-10-04 03:07:00,Sin Info
POINT (-103.39798 25.48659),25.48659,-103.39798,Torreón,Coahuila de Zaragoza,2025-10-05 02:48:00,Sin Info
POINT (-105.34232 23.79781),23.79781,-105.34232,Pueblo Nuevo,Durango,2025-10-05 02:50:00,Sin Info
POINT (-103.39909 25.48869),25.48869,-103.39909,Torreón,Coahuila de Zaragoza,2025-10-06 02:30:00,Sin Info
POINT (-103.40006 25.48833),25.48833,-103.40006,Torreón,Coahuila de Zaragoza,2025-10-07 02:09:00,Sin Info
POINT (-103.70193 24.93059),24.93059,-103.70193,Cuencamé,Durango,2025-10-08 13:06:00,Sin Info
POINT (-103.39583 25.4883),25.4883,-103.39583,Torreón,Coahuila de Zaragoza,2025-10-03 02:37:00,Sin Info
POINT (-103.96855 23.76802),23.76802,-103.96855,Vicente Guerrero,Durango,2025-10-03 02:37:00,Sin Info
POINT (-103.44684 25.7184),25.7184,-103.44684,Gómez Palacio,Durango,2025-10-03 13:51:00,Sin Info
POINT (-103.33092 25.76285),25.76285,-103.33092,Gómez Palacio,Durango,2025-10-03 13:51:00,Sin Info
POINT (-103.33507 25.76215),25.76215,-103.33507,Gómez Palacio,Durango,2025-10-03 13:51:00,Sin Info
POINT (-103.33163 25.76627),25.76627,-103.33163,Gómez Palacio,Durango,2025-10-03 13:51:00,Sin Info
POINT (-103.39738 25.48931),25.48931,-103.39738,Torreón,Coahuila de Zaragoza,2025-10-04 02:18:00,Sin Info
POINT (-105.20274 23.86343),23.86343,-105.20274,Durango,Durango,2025-10-04 02:20:00,Sin Info
POINT (-103.39678 25.48922),25.48922,-103.39678,Torreón,Coahuila de Zaragoza,2025-10-05 02:01:00,Sin Info
POINT (-103.39716 25.48649),25.48649,-103.39716,Torreón,Coahuila de Zaragoza,2025-10-06 03:22:00,Sin Info
POINT (-103.70791 24.93099),24.93099,-103.70791,Cuencamé,Durango,2025-10-08 13:57:00,Sin Info
POINT (-103.60838 25.50989),25.50989,-103.60838,Lerdo,Durango,2025-10-08 13:57:00,Sin Info
POINT (-104.07262 26.52918),26.52918,-104.07262,Mapimí,Durango,2025-10-08 13:57:00,Sin Info
POINT (-104.17767 26.52565),26.52565,-104.17767,Mapimí,Durango,2025-10-08 13:57:00,Sin Info
POINT (-103.39703 25.48931),25.48931,-103.39703,Torreón,Coahuila de Zaragoza,2025-01-01 02:41:00,Sin Info
POINT (-104.90141 24.98529),24.98529,-104.90141,Nuevo Ideal,Durango,2025-01-01 02:41:00,Sin Info
POINT (-106.95722 25.40832),25.40832,-106.95722,Tamazula,Durango,2025-01-01 02:41:00,Sin Info
POINT (-105.47871 24.322),24.322,-105.47871,San Dimas,Durango,2025-01-01 02:42:00,Sin Info
POINT (-103.39618 24.28462),24.28462,-103.39618,Juan Aldama,Zacatecas,2025-01-01 02:42:00,Sin Info
POINT (-104.26846 24.39596),24.39596,-104.26846,Pánuco de Coronado,Durango,2025-01-01 13:55:00,Sin Info
POINT (-103.99395 24.51893),24.51893,-103.99395,Peñón Blanco,Durango,2025-01-01 13:55:00,Sin Info
POINT (-104.96539 24.83214),24.83214,-104.96539,Nuevo Ideal,Durango,2025-01-01 13:56:00,Sin Info
POINT (-104.96832 24.82954),24.82954,-104.96832,Nuevo Ideal,Durango,2025-01-01 13:56:00,Sin Info
POINT (-103.32282 25.79186),25.79186,-103.32282,Francisco I. Madero,Coahuila de Zaragoza,2025-01-01 13:56:00,Sin Info
POINT (-103.39949 25.48951),25.48951,-103.39949,Torreón,Coahuila de Zaragoza,2025-01-02 02:22:00,Sin Info
POINT (-105.31714 23.87058),23.87058,-105.31714,Pueblo Nuevo,Durango,2025-01-02 02:23:00,Sin Info
POINT (-106.63592 25.77018),25.77018,-106.63592,Guadalupe y Calvo,Chihuahua,2025-01-02 13:37:00,Sin Info
POINT (-103.39809 25.48926),25.48926,-103.39809,Torreón,Coahuila de Zaragoza,2025-01-03 02:04:00,Sin Info
POINT (-105.06933 24.99211),24.99211,-105.06933,Nuevo Ideal,Durango,2025-01-03 13:18:00,Sin Info
POINT (-105.06728 24.99028),24.99028,-105.06728,Nuevo Ideal,Durango,2025-01-03 13:18:00,Sin Info
POINT (-107.12637 25.18332),25.18332,-107.12637,Culiacán,Sinaloa,2025-01-04 14:40:00,Sin Info
POINT (-106.83842 25.45583),25.45583,-106.83842,Tamazula,Durango,2025-01-04 14:40:00,Sin Info
POINT (-106.83755 25.45824),25.45824,-106.83755,Tamazula,Durango,2025-01-04 14:40:00,Sin Info
POINT (-105.04072 23.16449),23.16449,-105.04072,Pueblo Nuevo,Durango,2025-01-05 14:20:00,Sin Info
POINT (-105.03981 23.16101),23.16101,-105.03981,Pueblo Nuevo,Durango,2025-01-05 14:20:00,Sin Info
POINT (-104.50148 24.03601),24.03601,-104.50148,Durango,Durango,2025-01-05 14:20:00,Sin Info
POINT (-104.49675 24.0366),24.0366,-104.49675,Durango,Durango,2025-01-05 14:20:00,Sin Info
POINT (-105.20489 24.19868),24.19868,-105.20489,Durango,Durango,2025-01-05 14:21:00,Sin Info
POINT (-105.20097 24.20281),24.20281,-105.20097,Durango,Durango,2025-01-05 14:21:00,Sin Info
POINT (-103.32354 25.83124),25.83124,-103.32354,Francisco I. Madero,Coahuila de Zaragoza,2025-01-05 14:21:00,Sin Info
POINT (-105.20043 24.19926),24.19926,-105.20043,Durango,Durango,2025-01-05 14:21:00,Sin Info
POINT (-107.1288 25.1816),25.1816,-107.1288,Culiacán,Sinaloa,2025-01-06 02:48:00,Sin Info
POINT (-106.27428 25.19117),25.19117,-106.27428,Topia,Durango,2025-01-06 02:48:00,Sin Info
POINT (-106.27808 25.19178),25.19178,-106.27808,Topia,Durango,2025-01-06 02:48:00,Sin Info
POINT (-106.27364 25.19446),25.19446,-106.27364,Topia,Durango,2025-01-06 02:48:00,Sin Info
POINT (-106.27745 25.19508),25.19508,-106.27745,Topia,Durango,2025-01-06 02:48:00,Sin Info
POINT (-103.39806 25.48935),25.48935,-103.39806,Torreón,Coahuila de Zaragoza,2025-01-06 02:48:00,Sin Info
POINT (-105.03997 23.1605),23.1605,-105.03997,Pueblo Nuevo,Durango,2025-01-06 02:48:00,Sin Info
POINT (-106.24146 24.52329),24.52329,-106.24146,Tamazula,Durango,2025-01-06 14:02:00,Sin Info
POINT (-103.97382 25.32907),25.32907,-103.97382,Nazas,Durango,2025-01-06 14:02:00,Sin Info
POINT (-106.27056 25.19469),25.19469,-106.27056,Topia,Durango,2025-01-06 14:02:00,Sin Info
POINT (-106.1078 25.48593),25.48593,-106.1078,Tepehuanes,Durango,2025-01-06 14:02:00,Sin Info
POINT (-105.47984 24.3226),24.3226,-105.47984,San Dimas,Durango,2025-01-07 02:29:00,Sin Info
POINT (-103.3978 25.48882),25.48882,-103.3978,Torreón,Coahuila de Zaragoza,2025-01-07 02:29:00,Sin Info
POINT (-103.39439 25.78282),25.78282,-103.39439,Gómez Palacio,Durango,2025-01-07 13:43:00,Sin Info
POINT (-106.96126 24.93991),24.93991,-106.96126,Tamazula,Durango,2025-01-07 13:43:00,Sin Info
POINT (-106.95865 24.94163),24.94163,-106.95865,Tamazula,Durango,2025-01-07 13:43:00,Sin Info
POINT (-105.44579 23.41595),23.41595,-105.44579,Pueblo Nuevo,Durango,2025-01-07 13:43:00,Sin Info
POINT (-103.38712 25.93213),25.93213,-103.38712,Tlahualilo,Durango,2025-01-08 13:25:00,Sin Info
POINT (-105.40498 26.41018),26.41018,-105.40498,Ocampo,Durango,2025-01-09 13:06:00,Sin Info
POINT (-105.4083 26.4072),26.4072,-105.4083,Ocampo,Durango,2025-01-09 13:06:00,Sin Info
POINT (-105.20898 25.03964),25.03964,-105.20898,Santiago Papasquiaro,Durango,2025-01-10 14:27:00,Sin Info
POINT (-105.08088 24.94063),24.94063,-105.08088,Nuevo Ideal,Durango,2025-01-11 14:08:00,Sin Info
POINT (-104.04429 25.27876),25.27876,-104.04429,Nazas,Durango,2025-01-11 14:08:00,Sin Info
POINT (-103.36691 25.54753),25.54753,-103.36691,Torreón,Coahuila de Zaragoza,2025-01-12 02:35:00,Sin Info
POINT (-103.39809 25.48807),25.48807,-103.39809,Torreón,Coahuila de Zaragoza,2025-01-12 02:35:00,Sin Info
POINT (-107.11643 25.23293),25.23293,-107.11643,Tamazula,Durango,2025-01-13 02:16:00,Sin Info
POINT (-107.11826 25.23092),25.23092,-107.11826,Tamazula,Durango,2025-01-13 02:16:00,Sin Info
POINT (-107.11228 25.2373),25.2373,-107.11228,Tamazula,Durango,2025-01-14 01:58:00,Sin Info
POINT (-107.10564 25.23777),25.23777,-107.10564,Tamazula,Durango,2025-01-14 03:38:00,Sin Info
POINT (-103.39753 25.49081),25.49081,-103.39753,Torreón,Coahuila de Zaragoza,2025-01-15 03:19:00,Sin Info
POINT (-103.57262 24.07386),24.07386,-103.57262,Miguel Auza,Zacatecas,2025-01-15 14:33:00,Sin Info
POINT (-103.39864 25.48842),25.48842,-103.39864,Torreón,Coahuila de Zaragoza,2025-01-16 03:00:00,Sin Info
POINT (-103.73057 23.78585),23.78585,-103.73057,Sombrerete,Zacatecas,2025-01-16 14:14:00,Sin Info
POINT (-103.72929 23.78637),23.78637,-103.72929,Sombrerete,Zacatecas,2025-01-16 14:14:00,Sin Info
POINT (-104.54427 24.00242),24.00242,-104.54427,Durango,Durango,2025-01-17 13:56:00,Sin Info
POINT (-104.41817 24.00967),24.00967,-104.41817,Durango,Durango,2025-01-17 13:56:00,Sin Info
POINT (-105.33871 23.80868),23.80868,-105.33871,Pueblo Nuevo,Durango,2025-01-18 02:23:00,Sin Info
POINT (-104.02158 24.44221),24.44221,-104.02158,Guadalupe Victoria,Durango,2025-01-18 02:23:00,Sin Info
POINT (-103.46826 25.70805),25.70805,-103.46826,Gómez Palacio,Durango,2025-01-18 02:23:00,Sin Info
POINT (-103.39687 25.48872),25.48872,-103.39687,Torreón,Coahuila de Zaragoza,2025-01-18 02:23:00,Sin Info
POINT (-104.45146 23.96772),23.96772,-104.45146,Durango,Durango,2025-01-18 13:37:00,Sin Info
POINT (-104.443 23.97405),23.97405,-104.443,Durango,Durango,2025-01-18 13:37:00,Sin Info
POINT (-104.44776 23.97309),23.97309,-104.44776,Durango,Durango,2025-01-18 13:37:00,Sin Info
POINT (-104.45252 23.97212),23.97212,-104.45252,Durango,Durango,2025-01-18 13:37:00,Sin Info
POINT (-104.44882 23.97748),23.97748,-104.44882,Durango,Durango,2025-01-18 13:37:00,Sin Info
POINT (-104.535 24.00168),24.00168,-104.535,Durango,Durango,2025-01-18 13:37:00,Sin Info
POINT (-104.53983 24.00071),24.00071,-104.53983,Durango,Durango,2025-01-18 13:37:00,Sin Info
POINT (-104.54088 24.00513),24.00513,-104.54088,Durango,Durango,2025-01-18 13:37:00,Sin Info
POINT (-104.5277 24.04313),24.04313,-104.5277,Durango,Durango,2025-01-18 13:37:00,Sin Info
POINT (-104.51079 24.00856),24.00856,-104.51079,Durango,Durango,2025-01-20 14:39:00,Sin Info
POINT (-104.79896 23.96972),23.96972,-104.79896,Durango,Durango,2025-01-20 14:39:00,Sin Info
POINT (-104.79292 23.97034),23.97034,-104.79292,Durango,Durango,2025-01-20 14:39:00,Sin Info
POINT (-104.4976 23.9999),23.9999,-104.4976,Durango,Durango,2025-01-20 14:39:00,Sin Info
POINT (-104.79846 23.96488),23.96488,-104.79846,Durango,Durango,2025-01-20 14:39:00,Sin Info
POINT (-104.79249 23.96548),23.96548,-104.79249,Durango,Durango,2025-01-20 14:39:00,Sin Info
POINT (-104.78651 23.96609),23.96609,-104.78651,Durango,Durango,2025-01-20 14:39:00,Sin Info
POINT (-104.6974 23.93074),23.93074,-104.6974,Durango,Durango,2025-01-20 14:39:00,Sin Info
POINT (-103.99954 23.84089),23.84089,-103.99954,Poanas,Durango,2025-01-20 14:39:00,Sin Info
POINT (-105.38967 23.53072),23.53072,-105.38967,Pueblo Nuevo,Durango,2025-01-22 02:48:00,Sin Info
POINT (-104.45757 22.90058),22.90058,-104.45757,Mezquital,Durango,2025-01-22 14:01:00,Sin Info
POINT (-104.77389 24.54839),24.54839,-104.77389,Canatlán,Durango,2025-01-22 14:02:00,Sin Info
POINT (-106.25896 24.28585),24.28585,-106.25896,San Ignacio,Sinaloa,2025-01-22 14:02:00,Sin Info
POINT (-106.25445 24.28662),24.28662,-106.25445,San Ignacio,Sinaloa,2025-01-22 14:02:00,Sin Info
POINT (-106.25852 24.28236),24.28236,-106.25852,San Ignacio,Sinaloa,2025-01-22 14:02:00,Sin Info
POINT (-106.25426 24.28309),24.28309,-106.25426,San Ignacio,Sinaloa,2025-01-22 14:02:00,Sin Info
POINT (-106.25394 24.27958),24.27958,-106.25394,San Ignacio,Sinaloa,2025-01-22 14:02:00,Sin Info
POINT (-104.61508 23.95423),23.95423,-104.61508,Durango,Durango,2025-01-22 14:02:00,Sin Info
POINT (-104.7413 23.17853),23.17853,-104.7413,Mezquital,Durango,2025-01-22 14:02:00,Sin Info
POINT (-106.25736 24.29017),24.29017,-106.25736,San Ignacio,Sinaloa,2025-01-23 02:29:00,Sin Info
POINT (-106.25285 24.28959),24.28959,-106.25285,San Ignacio,Sinaloa,2025-01-23 02:29:00,Sin Info
POINT (-106.25862 24.29362),24.29362,-106.25862,San Ignacio,Sinaloa,2025-01-23 02:29:00,Sin Info
POINT (-106.25379 24.29296),24.29296,-106.25379,San Ignacio,Sinaloa,2025-01-23 02:29:00,Sin Info
POINT (-106.25478 24.28939),24.28939,-106.25478,San Ignacio,Sinaloa,2025-01-23 02:29:00,Sin Info
POINT (-106.25986 24.29008),24.29008,-106.25986,San Ignacio,Sinaloa,2025-01-23 02:29:00,Sin Info
POINT (-106.25093 24.28887),24.28887,-106.25093,San Ignacio,Sinaloa,2025-01-23 02:29:00,Sin Info
POINT (-106.26104 24.28653),24.28653,-106.26104,San Ignacio,Sinaloa,2025-01-23 02:29:00,Sin Info
POINT (-106.25183 24.28529),24.28529,-106.25183,San Ignacio,Sinaloa,2025-01-23 02:29:00,Sin Info
POINT (-106.25716 24.2823),24.2823,-106.25716,San Ignacio,Sinaloa,2025-01-23 02:29:00,Sin Info
POINT (-106.25282 24.28172),24.28172,-106.25282,San Ignacio,Sinaloa,2025-01-23 02:29:00,Sin Info
POINT (-106.25821 24.27874),24.27874,-106.25821,San Ignacio,Sinaloa,2025-01-23 02:29:00,Sin Info
POINT (-104.23629 23.86242),23.86242,-104.23629,Nombre de Dios,Durango,2025-01-23 13:43:00,Sin Info
POINT (-104.94309 24.98496),24.98496,-104.94309,Nuevo Ideal,Durango,2025-01-23 13:43:00,Sin Info
POINT (-103.65332 26.03325),26.03325,-103.65332,Tlahualilo,Durango,2025-01-23 13:44:00,Sin Info
POINT (-103.65036 26.03229),26.03229,-103.65036,Tlahualilo,Durango,2025-01-23 13:44:00,Sin Info
POINT (-103.64838 26.03417),26.03417,-103.64838,Tlahualilo,Durango,2025-01-23 13:44:00,Sin Info
POINT (-103.39867 25.48953),25.48953,-103.39867,Torreón,Coahuila de Zaragoza,2025-01-24 02:10:00,Sin Info
POINT (-106.24731 24.28658),24.28658,-106.24731,San Ignacio,Sinaloa,2025-01-24 02:10:00,Sin Info
POINT (-106.24866 24.28181),24.28181,-106.24866,San Ignacio,Sinaloa,2025-01-24 02:10:00,Sin Info
POINT (-106.26734 24.27876),24.27876,-106.26734,San Ignacio,Sinaloa,2025-01-24 02:10:00,Sin Info
POINT (-105.839 23.52123),23.52123,-105.839,Concordia,Sinaloa,2025-01-24 02:11:00,Sin Info
POINT (-105.83546 23.51801),23.51801,-105.83546,Concordia,Sinaloa,2025-01-24 13:24:00,Sin Info
POINT (-105.83938 23.5171),23.5171,-105.83938,Concordia,Sinaloa,2025-01-24 13:24:00,Sin Info
POINT (-105.83619 23.52403),23.52403,-105.83619,Concordia,Sinaloa,2025-01-24 13:24:00,Sin Info
POINT (-106.24518 24.27856),24.27856,-106.24518,San Ignacio,Sinaloa,2025-01-24 13:24:00,Sin Info
POINT (-106.25544 24.29483),24.29483,-106.25544,San Ignacio,Sinaloa,2025-01-24 13:24:00,Sin Info
POINT (-106.2562 24.28615),24.28615,-106.2562,San Ignacio,Sinaloa,2025-01-24 15:05:00,Sin Info
POINT (-106.26408 24.29917),24.29917,-106.26408,San Ignacio,Sinaloa,2025-01-25 01:52:00,Sin Info
POINT (-106.24592 24.27826),24.27826,-106.24592,San Ignacio,Sinaloa,2025-01-25 01:52:00,Sin Info
POINT (-104.82501 22.93475),22.93475,-104.82501,Mezquital,Durango,2025-01-25 01:52:00,Sin Info
POINT (-106.24619 24.29843),24.29843,-106.24619,San Ignacio,Sinaloa,2025-01-25 03:32:00,Sin Info
POINT (-103.27327 25.87593),25.87593,-103.27327,Francisco I. Madero,Coahuila de Zaragoza,2025-01-25 13:06:00,Sin Info
POINT (-104.49416 22.56844),22.56844,-104.49416,Mezquital,Durango,2025-01-25 14:45:00,Sin Info
POINT (-103.79272 23.80735),23.80735,-103.79272,Sombrerete,Zacatecas,2025-01-25 14:46:00,Sin Info
POINT (-105.0769 24.99106),24.99106,-105.0769,Nuevo Ideal,Durango,2025-01-25 14:46:00,Sin Info
POINT (-105.07614 24.99271),24.99271,-105.07614,Nuevo Ideal,Durango,2025-01-25 14:46:00,Sin Info
POINT (-103.3971 25.48977),25.48977,-103.3971,Torreón,Coahuila de Zaragoza,2025-01-26 03:13:00,Sin Info
POINT (-103.39783 25.48988),25.48988,-103.39783,Torreón,Coahuila de Zaragoza,2025-01-26 03:13:00,Sin Info
POINT (-104.69508 23.97962),23.97962,-104.69508,Durango,Durango,2025-01-26 03:13:00,Sin Info
POINT (-105.3456 23.7963),23.7963,-105.3456,Pueblo Nuevo,Durango,2025-01-26 03:13:00,Sin Info
POINT (-104.8455 23.3705),23.3705,-104.8455,Pueblo Nuevo,Durango,2025-01-26 03:13:00,Sin Info
POINT (-106.24445 24.2906),24.2906,-106.24445,San Ignacio,Sinaloa,2025-01-27 14:08:00,Sin Info
POINT (-105.215 25.05772),25.05772,-105.215,Santiago Papasquiaro,Durango,2025-01-27 14:08:00,Sin Info
POINT (-105.2156 25.06101),25.06101,-105.2156,Santiago Papasquiaro,Durango,2025-01-27 14:08:00,Sin Info
POINT (-106.50623 25.22887),25.22887,-106.50623,Topia,Durango,2025-01-28 02:35:00,Sin Info
POINT (-106.24276 24.29276),24.29276,-106.24276,San Ignacio,Sinaloa,2025-01-28 02:36:00,Sin Info
POINT (-105.2225 23.52314),23.52314,-105.2225,Pueblo Nuevo,Durango,2025-01-29 13:30:00,Sin Info
POINT (-103.39838 25.48721),25.48721,-103.39838,Torreón,Coahuila de Zaragoza,2025-01-30 01:57:00,Sin Info
POINT (-106.24639 24.29847),24.29847,-106.24639,San Ignacio,Sinaloa,2025-01-30 01:58:00,Sin Info
POINT (-106.24313 24.2982),24.2982,-106.24313,San Ignacio,Sinaloa,2025-01-30 01:58:00,Sin Info
POINT (-106.245 24.2963),24.2963,-106.245,San Ignacio,Sinaloa,2025-01-30 01:58:00,Sin Info
POINT (-106.24799 24.29654),24.29654,-106.24799,San Ignacio,Sinaloa,2025-01-30 01:58:00,Sin Info
POINT (-106.24102 24.30197),24.30197,-106.24102,San Ignacio,Sinaloa,2025-01-30 01:58:00,Sin Info
POINT (-106.24475 24.30226),24.30226,-106.24475,San Ignacio,Sinaloa,2025-01-30 01:58:00,Sin Info
POINT (-105.16203 25.52417),25.52417,-105.16203,El Oro,Durango,2025-01-30 13:12:00,Sin Info
POINT (-105.15763 25.52504),25.52504,-105.15763,El Oro,Durango,2025-01-30 13:12:00,Sin Info
POINT (-105.15607 25.52567),25.52567,-105.15607,El Oro,Durango,2025-01-30 13:12:00,Sin Info
POINT (-104.52044 23.99431),23.99431,-104.52044,Durango,Durango,2025-01-30 14:52:00,Sin Info
POINT (-104.51949 23.99658),23.99658,-104.51949,Durango,Durango,2025-01-30 14:52:00,Sin Info
POINT (-104.52386 23.9902),23.9902,-104.52386,Durango,Durango,2025-01-30 14:52:00,Sin Info
POINT (-105.15733 25.5283),25.5283,-105.15733,El Oro,Durango,2025-01-30 14:53:00,Sin Info
POINT (-106.24433 25.28255),25.28255,-106.24433,Topia,Durango,2025-01-30 14:53:00,Sin Info
POINT (-103.39783 25.49),25.49,-103.39783,Torreón,Coahuila de Zaragoza,2025-01-31 03:19:00,Sin Info
POINT (-104.10476 24.02303),24.02303,-104.10476,Poanas,Durango,2025-01-31 14:33:00,Sin Info
POINT (-104.5807 24.1913),24.1913,-104.5807,Durango,Durango,2025-01-31 14:33:00,Sin Info
POINT (-103.99415 24.00653),24.00653,-103.99415,Poanas,Durango,2025-01-31 14:33:00,Sin Info
POINT (-103.39596 25.48825),25.48825,-103.39596,Torreón,Coahuila de Zaragoza,2025-02-01 03:00:00,Sin Info
POINT (-106.53792 24.9516),24.9516,-106.53792,Santiago Papasquiaro,Durango,2025-02-01 03:01:00,Sin Info
POINT (-104.69123 23.97916),23.97916,-104.69123,Durango,Durango,2025-02-01 03:01:00,Sin Info
POINT (-104.56335 24.03522),24.03522,-104.56335,Durango,Durango,2025-02-01 03:01:00,Sin Info
POINT (-104.10829 24.02615),24.02615,-104.10829,Poanas,Durango,2025-02-01 14:14:00,Sin Info
POINT (-104.10774 24.02267),24.02267,-104.10774,Poanas,Durango,2025-02-01 14:14:00,Sin Info
POINT (-105.34264 23.79486),23.79486,-105.34264,Pueblo Nuevo,Durango,2025-02-01 14:14:00,Sin Info
POINT (-104.60488 22.93016),22.93016,-104.60488,Mezquital,Durango,2025-02-01 14:14:00,Sin Info
POINT (-106.34893 25.41286),25.41286,-106.34893,Tepehuanes,Durango,2025-02-01 14:15:00,Sin Info
POINT (-106.43996 25.86094),25.86094,-106.43996,Guanaceví,Durango,2025-02-01 14:15:00,Sin Info
POINT (-103.5994 25.74629),25.74629,-103.5994,Gómez Palacio,Durango,2025-02-01 14:15:00,Sin Info
POINT (-106.53489 24.94758),24.94758,-106.53489,Santiago Papasquiaro,Durango,2025-02-01 14:15:00,Sin Info
POINT (-103.39898 25.4879),25.4879,-103.39898,Torreón,Coahuila de Zaragoza,2025-02-02 02:42:00,Sin Info
POINT (-106.53335 24.94777),24.94777,-106.53335,Santiago Papasquiaro,Durango,2025-02-02 02:42:00,Sin Info
POINT (-105.03848 23.41285),23.41285,-105.03848,Pueblo Nuevo,Durango,2025-02-02 02:42:00,Sin Info
POINT (-106.53274 24.95107),24.95107,-106.53274,Santiago Papasquiaro,Durango,2025-02-02 02:42:00,Sin Info
POINT (-104.25006 22.5389),22.5389,-104.25006,Valparaíso,Zacatecas,2025-02-02 13:55:00,Sin Info
POINT (-104.89675 22.78488),22.78488,-104.89675,Mezquital,Durango,2025-02-02 13:55:00,Sin Info
POINT (-104.90128 22.78411),22.78411,-104.90128,Mezquital,Durango,2025-02-02 13:55:00,Sin Info
POINT (-104.89746 22.78842),22.78842,-104.89746,Mezquital,Durango,2025-02-02 13:55:00,Sin Info
POINT (-104.24948 22.53543),22.53543,-104.24948,Valparaíso,Zacatecas,2025-02-02 13:55:00,Sin Info
POINT (-104.24529 22.53614),22.53614,-104.24529,Valparaíso,Zacatecas,2025-02-02 13:55:00,Sin Info
POINT (-103.57861 24.12967),24.12967,-103.57861,Miguel Auza,Zacatecas,2025-02-02 13:56:00,Sin Info
POINT (-103.57926 24.133),24.133,-103.57926,Miguel Auza,Zacatecas,2025-02-02 13:56:00,Sin Info
POINT (-103.58313 24.13238),24.13238,-103.58313,Miguel Auza,Zacatecas,2025-02-02 13:56:00,Sin Info
POINT (-103.58377 24.13572),24.13572,-103.58377,Miguel Auza,Zacatecas,2025-02-02 13:56:00,Sin Info
POINT (-103.5799 24.13634),24.13634,-103.5799,Miguel Auza,Zacatecas,2025-02-02 13:56:00,Sin Info
POINT (-103.58403 24.13788),24.13788,-103.58403,Miguel Auza,Zacatecas,2025-02-02 13:56:00,Sin Info
POINT (-104.60491 23.98834),23.98834,-104.60491,Durango,Durango,2025-02-02 13:56:00,Sin Info
POINT (-104.5587 24.05661),24.05661,-104.5587,Durango,Durango,2025-02-02 13:56:00,Sin Info
POINT (-103.73682 25.50327),25.50327,-103.73682,Lerdo,Durango,2025-02-02 13:56:00,Sin Info
POINT (-104.88688 22.79542),22.79542,-104.88688,Mezquital,Durango,2025-02-03 02:23:00,Sin Info
POINT (-104.89263 22.79247),22.79247,-104.89263,Mezquital,Durango,2025-02-03 02:23:00,Sin Info
POINT (-106.15425 24.18128),24.18128,-106.15425,San Ignacio,Sinaloa,2025-02-03 02:23:00,Sin Info
POINT (-106.15939 24.18591),24.18591,-106.15939,San Ignacio,Sinaloa,2025-02-03 02:23:00,Sin Info
POINT (-104.63225 25.30589),25.30589,-104.63225,Rodeo,Durango,2025-02-03 02:23:00,Sin Info
POINT (-104.6364 25.31017),25.31017,-104.6364,Rodeo,Durango,2025-02-03 02:23:00,Sin Info
POINT (-103.39636 25.48844),25.48844,-103.39636,Torreón,Coahuila de Zaragoza,2025-02-03 02:23:00,Sin Info
POINT (-104.24854 22.52885),22.52885,-104.24854,Valparaíso,Zacatecas,2025-02-03 02:24:00,Sin Info
POINT (-104.24355 22.53173),22.53173,-104.24355,Valparaíso,Zacatecas,2025-02-03 02:24:00,Sin Info
POINT (-104.24777 22.53232),22.53232,-104.24777,Valparaíso,Zacatecas,2025-02-03 02:24:00,Sin Info
POINT (-104.25562 22.53698),22.53698,-104.25562,Valparaíso,Zacatecas,2025-02-03 02:24:00,Sin Info
POINT (-104.24648 22.53928),22.53928,-104.24648,Valparaíso,Zacatecas,2025-02-03 02:24:00,Sin Info
